"common_name","num_observed","observed_on"
"flat-top white aster",2,"2019-08-07"
"Ghost Pipes",1,"2019-08-07"
"ginkgo",1,"2019-08-07"
"great blue lobelia",2,"2019-08-07"
"Great Willowherb",1,"2019-08-07"
"grey-headed coneflower",2,"2019-08-07"
"guelder-rose",1,"2019-08-07"
"honey locust",1,"2019-08-07"
"Hooded Ladies' Tresses",1,"2019-08-07"
"hop sedge",1,"2019-08-07"
"horseweed",1,"2019-08-07"
"Indian blanket",1,"2019-08-07"
"interior sandbar willow",1,"2019-08-07"
"intermediate wood fern",2,"2019-08-07"
"Jack-in-the-pulpit",1,"2019-08-07"
"Japanese barberry",1,"2019-08-07"
"lady fern",1,"2019-08-07"
"Lance-leaved Coreopsis",1,"2019-08-07"
"large-leaved aster",1,"2019-08-07"
"lesser burdock",1,"2019-08-07"
"long beech fern",1,"2019-08-07"
"low smartweed",1,"2019-08-07"
"mapleleaf viburnum",1,"2019-08-07"
"marginal wood fern",2,"2019-08-07"
"Marsh Bellflower",1,"2019-08-07"
"Marsh Skullcap",1,"2019-08-07"
"Marsh Woundwort",1,"2019-08-07"
"mountain deathcamas",1,"2019-08-07"
"Mountain Maple",1,"2019-08-07"
"musk mallow",1,"2019-08-07"
"narrowleaf cow wheat",1,"2019-08-07"
"northern bugleweed",1,"2019-08-07"
"northern catalpa",1,"2019-08-07"
"Northern highbush blueberry",1,"2019-08-07"
"northern maidenhair fern",1,"2019-08-07"
"northern oak fern",1,"2019-08-07"
"northern red oak",1,"2019-08-07"
"Northern Water Plantain",1,"2019-08-07"
"northern whitecedar",1,"2019-08-07"
"Norway spruce",1,"2019-08-07"
"one-sided wintergreen",1,"2019-08-07"
"orange hawkweed",1,"2019-08-07"
"Oregano",1,"2019-08-07"
"oxeye daisy",1,"2019-08-07"
"pale jewelweed",1,"2019-08-07"
"pale vetchling",1,"2019-08-07"
"pearly everlasting",1,"2019-08-07"
"Perennial Bentgrass",1,"2019-08-07"
"Perennial Sow Thistle",1,"2019-08-07"
"pickerelweed",1,"2019-08-07"
"pin oak",1,"2019-08-07"
"pinkweed",1,"2019-08-07"
"porcupine needlegrass",1,"2019-08-07"
"prairie blazing star",1,"2019-08-07"
"Prairie Brome",1,"2019-08-07"
"purple coneflower",1,"2019-08-07"
"purple crownvetch",1,"2019-08-07"
"Purple heart",1,"2019-08-07"
"purple loosestrife",5,"2019-08-07"
"red baneberry",1,"2019-08-07"
"red pine",1,"2019-08-07"
"round-leaved sundew",1,"2019-08-07"
"Running Strawberry-bush",1,"2019-08-07"
"Scaldweed",1,"2019-08-07"
"Scarlet Flax",1,"2019-08-07"
"Scots pine",1,"2019-08-07"
"shrubby cinquefoil",1,"2019-08-07"
"Shumard's oak",1,"2019-08-07"
"side-flowering skullcap",1,"2019-08-07"
"sideoats grama",1,"2019-08-07"
"silky dogwood",1,"2019-08-07"
"silvery glade fern",1,"2019-08-07"
"Slender Ladies' Tresses",1,"2019-08-07"
"slender yellow woodsorrel",1,"2019-08-07"
"Smokebush",1,"2019-08-07"
"southern arrowwood",1,"2019-08-07"
"spotted Joe-Pye weed",3,"2019-08-07"
"spotted knapweed",1,"2019-08-07"
"stout wood reed",1,"2019-08-07"
"sugar maple",2,"2019-08-07"
"swamp agrimony",1,"2019-08-07"
"swamp milkweed",3,"2019-08-07"
"swamp smartweed",1,"2019-08-07"
"sweetfern",1,"2019-08-07"
"switchgrass",1,"2019-08-07"
"tansy",1,"2019-08-07"
"Toad rush",1,"2019-08-07"
"tulip tree",1,"2019-08-07"
"upright yellow woodsorrel",2,"2019-08-07"
"viper's-bugloss",1,"2019-08-07"
"virgin's-bower",2,"2019-08-07"
"Virginia mountain mint",3,"2019-08-07"
"watercress",1,"2019-08-07"
"wavy hair-grass",1,"2019-08-07"
"western ragweed",1,"2019-08-07"
"white baneberry",1,"2019-08-07"
"white meadowsweet",3,"2019-08-07"
"white snakeroot",1,"2019-08-07"
"white spruce",1,"2019-08-07"
"white turtlehead",1,"2019-08-07"
"White-fringed Orchid",1,"2019-08-07"
"wild bergamot",3,"2019-08-07"
"wild carrot",1,"2019-08-07"
"wood nettle",1,"2019-08-07"
"woolly beachheather",1,"2019-08-07"
"American beech",4,"2019-08-08"
"American bur-reed",1,"2019-08-08"
"American cancer-root",1,"2019-08-08"
"American cornmint",1,"2019-08-08"
"American hophornbeam",3,"2019-08-08"
"American lopseed",2,"2019-08-08"
"american lotus",2,"2019-08-08"
"American pumpkin",1,"2019-08-08"
"American white waterlily",1,"2019-08-08"
"American witch-hazel",3,"2019-08-08"
"Amur honeysuckle",1,"2019-08-08"
"arrow-leaved tearthumb",1,"2019-08-08"
"Asiatic dayflower",1,"2019-08-08"
"awl-fruited sedge",1,"2019-08-08"
"basswood",3,"2019-08-08"
"bearberry",1,"2019-08-08"
"Beck's Water-Marigold",1,"2019-08-08"
"big bluestem",2,"2019-08-08"
"Big-fruit Hawthorn",1,"2019-08-08"
"bird's-foot trefoil",1,"2019-08-08"
"bittersweet nightshade",3,"2019-08-08"
"black ash",1,"2019-08-08"
"black cherry",2,"2019-08-08"
"Black Mustard",1,"2019-08-08"
"black raspberry",1,"2019-08-08"
"black-eyed Susan",1,"2019-08-08"
"bladder sedge",1,"2019-08-08"
"blue cohosh",1,"2019-08-08"
"blue vervain",3,"2019-08-08"
"Blunt Spikerush",1,"2019-08-08"
"Borage",1,"2019-08-08"
"Broad-leafed Helleborine",3,"2019-08-08"
"broadleaf arrowhead",2,"2019-08-08"
"broom moss",1,"2019-08-08"
"bull thistle",1,"2019-08-08"
"bur oak",3,"2019-08-08"
"buttonbush",2,"2019-08-08"
"calico aster",1,"2019-08-08"
"Callery pear",1,"2019-08-08"
"Canadian wild ginger",1,"2019-08-08"
"Canadian yew",1,"2019-08-08"
"cardinal flower",3,"2019-08-08"
"chicory",1,"2019-08-08"
"China Rose",1,"2019-08-08"
"Chinese forget-me-not",1,"2019-08-08"
"Christmas fern",1,"2019-08-08"
"Cinnamon Willow-herb",1,"2019-08-08"
"citronella horse balm",2,"2019-08-08"
"common boneset",1,"2019-08-08"
"common bracken",3,"2019-08-08"
"common buckthorn",1,"2019-08-08"
"common copperleaf",1,"2019-08-08"
"common daisy",1,"2019-08-08"
"common duckweed",1,"2019-08-08"
"common evening-primrose",1,"2019-08-08"
"common hoptree",1,"2019-08-08"
"common jewelweed",6,"2019-08-08"
"common lamb's-quarters",2,"2019-08-08"
"common lilac",1,"2019-08-08"
"common milkweed",1,"2019-08-08"
"common motherwort",3,"2019-08-08"
"common ninebark",1,"2019-08-08"
"common pawpaw",1,"2019-08-08"
"common ragweed",1,"2019-08-08"
"common selfheal",1,"2019-08-08"
"common soapwort",4,"2019-08-08"
"common St. John's-wort",2,"2019-08-08"
"common waterweed",2,"2019-08-08"
"common yarrow",1,"2019-08-08"
"coontail",1,"2019-08-08"
"creeping juniper",1,"2019-08-08"
"Cucumber-tree",1,"2019-08-08"
"curled dock",1,"2019-08-08"
"cutleaf coneflower",1,"2019-08-08"
"cylindrical blazing star",1,"2019-08-08"
"dark green bulrush",1,"2019-08-08"
"delicate fern moss",1,"2019-08-08"
"deptford pink",1,"2019-08-08"
"devil's beggarticks",1,"2019-08-08"
"dune tansy",1,"2019-08-08"
"early meadow-rue",1,"2019-08-08"
"eastern black walnut",2,"2019-08-08"
"eastern hemlock",3,"2019-08-08"
"Eastern Teaberry",2,"2019-08-08"
"eastern white pine",3,"2019-08-08"
"Eel-grass",1,"2019-08-08"
"Elecampane",1,"2019-08-08"
"Elegant Zinnia",1,"2019-08-08"
"European Frog-bit",3,"2019-08-08"
"fall phlox",2,"2019-08-08"
"fen orchid",1,"2019-08-08"
"Fennel-leaf Pondweed",1,"2019-08-08"
"field maple",1,"2019-08-08"
"fireweed",2,"2019-08-08"
"flat-top white aster",1,"2019-08-08"
"flat-topped goldenrod",2,"2019-08-08"
"flowering spurge",3,"2019-08-08"
"garden petunia",1,"2019-08-08"
"garlic mustard",1,"2019-08-08"
"Ghost Pipes",3,"2019-08-08"
"ginkgo",3,"2019-08-08"
"Glandular Globe-thistle",1,"2019-08-08"
"golden Alexander",1,"2019-08-08"
"Grass-leaved Arrowhead",1,"2019-08-08"
"grass-leaved pondweed",3,"2019-08-08"
"great blue lobelia",2,"2019-08-08"
"great mullein",2,"2019-08-08"
"greater duckweed",2,"2019-08-08"
"Green Arrow Arum",1,"2019-08-08"
"guelder-rose",1,"2019-08-08"
"hairy white oldfield aster",1,"2019-08-08"
"heart-leaf ice plant",1,"2019-08-08"
"hoary alyssum",1,"2019-08-08"
"horseweed",1,"2019-08-08"
"humped bladderwort",1,"2019-08-08"
"inland sea oats",1,"2019-08-08"
"inland sedge",1,"2019-08-08"
"interrupted clubmoss",1,"2019-08-08"
"Jack-in-the-pulpit",1,"2019-08-08"
"Japanese barberry",1,"2019-08-08"
"Japanese knotweed",1,"2019-08-08"
"Jointed rush",1,"2019-08-08"
"lady fern",1,"2019-08-08"
"Lance-leaved Coreopsis",1,"2019-08-08"
"lesser burdock",1,"2019-08-08"
"Long-leaved Speedwell",1,"2019-08-08"
"lowbush blueberry",1,"2019-08-08"
"mapleleaf viburnum",1,"2019-08-08"
"Marsh Skullcap",1,"2019-08-08"
"Miniature umbrella tree",1,"2019-08-08"
"moonseed",1,"2019-08-08"
"mountain deathcamas",2,"2019-08-08"
"multiflora rose",1,"2019-08-08"
"Narrow-leaved Bur-reed",1,"2019-08-08"
"Narrow-panicle Rush",1,"2019-08-08"
"New Gold Lantana",1,"2019-08-08"
"nodding onion",1,"2019-08-08"
"northern bush honeysuckle",1,"2019-08-08"
"northern red oak",1,"2019-08-08"
"Northern Water Plantain",1,"2019-08-08"
"northern whitecedar",1,"2019-08-08"
"Nuttall's Waterweed",1,"2019-08-08"
"Ohio Goldenrod",1,"2019-08-08"
"orange day-lily",1,"2019-08-08"
"oxeye daisy",1,"2019-08-08"
"pale jewelweed",2,"2019-08-08"
"panicled aster",1,"2019-08-08"
"partridgeberry",1,"2019-08-08"
"pickerelweed",2,"2019-08-08"
"pignut hickory",1,"2019-08-08"
"Pitcher's thistle",2,"2019-08-08"
"pointed-leaved tick-trefoil",2,"2019-08-08"
"prairie blazing star",1,"2019-08-08"
"prairie dock",1,"2019-08-08"
"prairie rosinweed",1,"2019-08-08"
"prickly sowthistle",1,"2019-08-08"
"prostrate knotweed",1,"2019-08-08"
"prostrate vervain",2,"2019-08-08"
"purple coneflower",1,"2019-08-08"
"purple crownvetch",2,"2019-08-08"
"purple loosestrife",4,"2019-08-08"
"purple needlegrass",1,"2019-08-08"
"purple-flowered raspberry",1,"2019-08-08"
"red clover",1,"2019-08-08"
"red maple",2,"2019-08-08"
"red osier dogwood",2,"2019-08-08"
"Red Sand Spurrey",1,"2019-08-08"
"Redshank",1,"2019-08-08"
"ribbon-leaved pondweed",1,"2019-08-08"
"Richardson's pondweed",1,"2019-08-08"
"riverbank grape",2,"2019-08-08"
"Round-leaved Dogwood",1,"2019-08-08"
"sassafras",1,"2019-08-08"
"Scarlet Beebalm",2,"2019-08-08"
"sensitive fern",2,"2019-08-08"
"shrubby cinquefoil",1,"2019-08-08"
"Siberian water-milfoil",1,"2019-08-08"
"silky aster",1,"2019-08-08"
"skyflower",1,"2019-08-08"
"Slender Path Rush",1,"2019-08-08"
"Slender Water-milfoil",1,"2019-08-08"
"slender water-nymph",2,"2019-08-08"
"smartweed",1,"2019-08-08"
"smooth sumac",1,"2019-08-08"
"southern globe thistle",1,"2019-08-08"
"spatterdock",1,"2019-08-08"
"spiny-spored quillwort",1,"2019-08-08"
"Spiral Pondweed",1,"2019-08-08"
"spotted horse mint",3,"2019-08-08"
"spotted Joe-Pye weed",2,"2019-08-08"
"spotted lady's thumb",1,"2019-08-08"
"spotted wintergreen",1,"2019-08-08"
"spreading dogbane",1,"2019-08-08"
"Spurred Gentian",1,"2019-08-08"
"staghorn sumac",2,"2019-08-08"
"starflower",2,"2019-08-08"
"Steeplebush",1,"2019-08-08"
"Steerecleus Moss",1,"2019-08-08"
"straw-colored flatsedge",1,"2019-08-08"
"sugar maple",1,"2019-08-08"
"swamp candles",1,"2019-08-08"
"swamp loosestrife",1,"2019-08-08"
"swamp milkweed",4,"2019-08-08"
"swamp rose",1,"2019-08-08"
"Sweet Joe-Pye-weed",1,"2019-08-08"
"sweetfern",1,"2019-08-08"
"switchgrass",1,"2019-08-08"
"tall bellflower",1,"2019-08-08"
"tall thimbleweed",1,"2019-08-08"
"tansy",2,"2019-08-08"
"thimbleberry",1,"2019-08-08"
"three-square bulrush",1,"2019-08-08"
"Three-way Sedge",1,"2019-08-08"
"threeleaf goldthread",1,"2019-08-08"
"tree-of-heaven",2,"2019-08-08"
"trembling aspen",1,"2019-08-08"
"tufted vetch",1,"2019-08-08"
"upright yellow woodsorrel",1,"2019-08-08"
"variegated pond-lily",1,"2019-08-08"
"virgin's-bower",1,"2019-08-08"
"water bulrush",1,"2019-08-08"
"water smartweed",1,"2019-08-08"
"white ash",1,"2019-08-08"
"white meadowsweet",2,"2019-08-08"
"white oak",1,"2019-08-08"
"white sweetclover",1,"2019-08-08"
"wild bergamot",4,"2019-08-08"
"wild carrot",5,"2019-08-08"
"wild cucumber",1,"2019-08-08"
"wild sarsaparilla",1,"2019-08-08"
"wood nettle",2,"2019-08-08"
"woolly beachheather",1,"2019-08-08"
"alder buckthorn",3,"2019-08-09"
"Allegheny blackberry",1,"2019-08-09"
"Allegheny monkeyflower",1,"2019-08-09"
"alternate-leaved dogwood",1,"2019-08-09"
"American beech",3,"2019-08-09"
"American black elderberry",1,"2019-08-09"
"American bugleweed",1,"2019-08-09"
"American columbo",1,"2019-08-09"
"American cornmint",2,"2019-08-09"
"American groundnut",1,"2019-08-09"
"American jumpseed",1,"2019-08-09"
"American lopseed",1,"2019-08-09"
"American pokeweed",5,"2019-08-09"
"American white waterlily",1,"2019-08-09"
"Amur honeysuckle",1,"2019-08-09"
"autumn olive",1,"2019-08-09"
"Balsam Willow",1,"2019-08-09"
"barnyardgrass",2,"2019-08-09"
"basswood",1,"2019-08-09"
"bearberry",1,"2019-08-09"
"Bedding Begonia",1,"2019-08-09"
"big bur-reed",1,"2019-08-09"
"bigtooth aspen",1,"2019-08-09"
"bittersweet nightshade",1,"2019-08-09"
"black cherry",1,"2019-08-09"
"black crowberry",1,"2019-08-09"
"black-eyed Susan",3,"2019-08-09"
"Black-girdle Bulrush",1,"2019-08-09"
"Blackberry Lily",1,"2019-08-09"
"bladder campion",1,"2019-08-09"
"blue clubmoss",1,"2019-08-09"
"blue vervain",4,"2019-08-09"
"bluebead lily",1,"2019-08-09"
"bluejacket",1,"2019-08-09"
"bog goldenrod",1,"2019-08-09"
"bottlebrush sedge",1,"2019-08-09"
"boxelder maple",4,"2019-08-09"
"bristly greenbrier",1,"2019-08-09"
"Broad-leafed Helleborine",1,"2019-08-09"
"broad-leaved dock",1,"2019-08-09"
"broad-leaved sweet pea",1,"2019-08-09"
"broadleaf enchanter's nightshade",1,"2019-08-09"
"Broadleaf Water-milfoil",2,"2019-08-09"
"Brussels Sprouts",1,"2019-08-09"
"bulbous buttercup",1,"2019-08-09"
"bull thistle",2,"2019-08-09"
"Bur-cucumber",1,"2019-08-09"
"Butterbur",1,"2019-08-09"
"butterfly milkweed",4,"2019-08-09"
"buttonbush",2,"2019-08-09"
"Canada Hawkweed",3,"2019-08-09"
"Canada wild rye",1,"2019-08-09"
"cardinal flower",2,"2019-08-09"
"chicory",5,"2019-08-09"
"chokecherry",1,"2019-08-09"
"cinnamon fern",1,"2019-08-09"
"clasping milkweed",1,"2019-08-09"
"common boneset",1,"2019-08-09"
"common bracken",1,"2019-08-09"
"common buckthorn",2,"2019-08-09"
"Common centaury",1,"2019-08-09"
"common copperleaf",1,"2019-08-09"
"common evening-primrose",1,"2019-08-09"
"common groundsel",1,"2019-08-09"
"common jewelweed",3,"2019-08-09"
"common juniper",2,"2019-08-09"
"common lamb's-quarters",1,"2019-08-09"
"common lilac",1,"2019-08-09"
"common milkweed",4,"2019-08-09"
"common motherwort",3,"2019-08-09"
"common peony",1,"2019-08-09"
"common silverweed",1,"2019-08-09"
"common sneezeweed",1,"2019-08-09"
"common soapwort",1,"2019-08-09"
"common St. John's-wort",2,"2019-08-09"
"common sunflower",1,"2019-08-09"
"common yarrow",1,"2019-08-09"
"Cornflower",1,"2019-08-09"
"Creeping Bellflower",1,"2019-08-09"
"creeping thistle",1,"2019-08-09"
"Culver's root",2,"2019-08-09"
"cup plant",1,"2019-08-09"
"cut-leaved grape-fern",1,"2019-08-09"
"cypress spurge",1,"2019-08-09"
"daisy fleabane",1,"2019-08-09"
"dame's rocket",2,"2019-08-09"
"dark green bulrush",1,"2019-08-09"
"ditch stonecrop",1,"2019-08-09"
"early goldenrod",1,"2019-08-09"
"eastern black nightshade",2,"2019-08-09"
"eastern prickly pear",1,"2019-08-09"
"eastern redbud",1,"2019-08-09"
"eastern white pine",1,"2019-08-09"
"eel-grass pondweed",1,"2019-08-09"
"Elecampane",1,"2019-08-09"
"European Frog-bit",2,"2019-08-09"
"European raspberry",1,"2019-08-09"
"Fen Grass of Parnassus",1,"2019-08-09"
"field goldenrod",1,"2019-08-09"
"field wormwood",1,"2019-08-09"
"fireweed",7,"2019-08-09"
"Flaming Katy",1,"2019-08-09"
"flat-branched tree-clubmoss",1,"2019-08-09"
"flowering spurge",1,"2019-08-09"
"Fringed Bindweed",1,"2019-08-09"
"fringed sedge",1,"2019-08-09"
"Ghost Pipes",1,"2019-08-09"
"giant foxtail",1,"2019-08-09"
"giant ragweed",1,"2019-08-09"
"Glaucous Honeysuckle",1,"2019-08-09"
"goat's rue",1,"2019-08-09"
"gray dogwood",1,"2019-08-09"
"great blue lobelia",1,"2019-08-09"
"great mullein",2,"2019-08-09"
"Greater Bladderwort",1,"2019-08-09"
"greater burdock",1,"2019-08-09"
"ground-ivy",1,"2019-08-09"
"Hairy Goldenrod",1,"2019-08-09"
"hairy lespedeza",1,"2019-08-09"
"hairy puccoon",1,"2019-08-09"
"hairy vetch",1,"2019-08-09"
"hardstem bulrush",1,"2019-08-09"
"Harebell",1,"2019-08-09"
"heartleaf paper birch",2,"2019-08-09"
"herb Robert",1,"2019-08-09"
"Hidden-fruit Bladderwort",1,"2019-08-09"
"horseweed",2,"2019-08-09"
"inflated sedge",1,"2019-08-09"
"intermediate wood fern",1,"2019-08-09"
"Jack-in-the-pulpit",1,"2019-08-09"
"Japanese barberry",1,"2019-08-09"
"Jerusalem oak",1,"2019-08-09"
"Kalm's Lobelia",1,"2019-08-09"
"Kalm's St. John's-wort",1,"2019-08-09"
"Kentucky coffeetree",2,"2019-08-09"
"Labrador Indian-paintbrush",1,"2019-08-09"
"large hop clover",2,"2019-08-09"
"lesser burdock",1,"2019-08-09"
"lesser periwinkle",1,"2019-08-09"
"Lesser Purple Fringed Orchid",1,"2019-08-09"
"Lindley's Aster",2,"2019-08-09"
"little green sedge",1,"2019-08-09"
"lizard's tail",1,"2019-08-09"
"manyflower marshpennywort",1,"2019-08-09"
"Marsh Thistle",1,"2019-08-09"
"meadow fescue",1,"2019-08-09"
"meadow salsify",1,"2019-08-09"
"Midwestern ninebark",1,"2019-08-09"
"mock strawberry",1,"2019-08-09"
"mountain alder",1,"2019-08-09"
"mouse-ear chickweed",1,"2019-08-09"
"musk mallow",1,"2019-08-09"
"naked-flowered tick-trefoil",1,"2019-08-09"
"Nettle-leaved Bellflower",1,"2019-08-09"
"nipplewort",1,"2019-08-09"
"nodding onion",1,"2019-08-09"
"Northern Clubmoss",1,"2019-08-09"
"northern red oak",1,"2019-08-09"
"northern whitecedar",1,"2019-08-09"
"Norway maple",1,"2019-08-09"
"Ontario Goldenrod",1,"2019-08-09"
"Oriental bittersweet",1,"2019-08-09"
"Painted-cup Paintbrush",1,"2019-08-09"
"pale jewelweed",3,"2019-08-09"
"partridge pea",1,"2019-08-09"
"partridgeberry",1,"2019-08-09"
"pickerelweed",1,"2019-08-09"
"pignut hickory",1,"2019-08-09"
"Pitcher's thistle",2,"2019-08-09"
"plains coreopsis",1,"2019-08-09"
"poison ivy",2,"2019-08-09"
"prickly sowthistle",1,"2019-08-09"
"Procumbent Pearlwort",2,"2019-08-09"
"prostrate knotweed",1,"2019-08-09"
"purple coneflower",1,"2019-08-09"
"purple foxglove",1,"2019-08-09"
"purple loosestrife",7,"2019-08-09"
"purple pitcher plant",2,"2019-08-09"
"purple-flowered raspberry",1,"2019-08-09"
"pussy willow",2,"2019-08-09"
"rabbitfoot clover",1,"2019-08-09"
"rattlesnake master",2,"2019-08-09"
"red baneberry",1,"2019-08-09"
"red clover",1,"2019-08-09"
"Redroot Pigweed",1,"2019-08-09"
"ribwort plantain",1,"2019-08-09"
"riverbank grape",1,"2019-08-09"
"rough blazing star",1,"2019-08-09"
"rough horsetail",1,"2019-08-09"
"round-lobed hepatica",1,"2019-08-09"
"Rusty Hook-moss",2,"2019-08-09"
"sand cherry",2,"2019-08-09"
"Scarlet Flax",1,"2019-08-09"
"Seedbox",1,"2019-08-09"
"sensitive fern",3,"2019-08-09"
"sheathed sedge",2,"2019-08-09"
"shining sumac",1,"2019-08-09"
"shrubby St. John's-wort",1,"2019-08-09"
"Sierra larkspur",1,"2019-08-09"
"silver maple",2,"2019-08-09"
"silverleaf cinquefoil",2,"2019-08-09"
"Slender Rockcress",2,"2019-08-09"
"slippery elm",1,"2019-08-09"
"smooth blue aster",1,"2019-08-09"
"smooth horsetail",1,"2019-08-09"
"smooth sumac",1,"2019-08-09"
"Sneezewort",2,"2019-08-09"
"spatterdock",1,"2019-08-09"
"spoonleaf sundew",1,"2019-08-09"
"spotted Joe-Pye weed",1,"2019-08-09"
"spotted knapweed",1,"2019-08-09"
"spotted lady's thumb",1,"2019-08-09"
"staghorn sumac",1,"2019-08-09"
"star sedge",1,"2019-08-09"
"star-flowered lily-of-the-valley",2,"2019-08-09"
"stickseed",1,"2019-08-09"
"stinging nettle",1,"2019-08-09"
"straw-colored flatsedge",2,"2019-08-09"
"sugar maple",2,"2019-08-09"
"swamp agrimony",1,"2019-08-09"
"Swamp Dock",1,"2019-08-09"
"swamp loosestrife",1,"2019-08-09"
"Swamp Meadow-grass",2,"2019-08-09"
"swamp milkweed",2,"2019-08-09"
"swamp smartweed",1,"2019-08-09"
"Sweet Joe-Pye-weed",1,"2019-08-09"
"Sweet Woodruff",1,"2019-08-09"
"tall bellflower",1,"2019-08-09"
"tall blue lettuce",1,"2019-08-09"
"Tall Cinquefoil",1,"2019-08-09"
"tall goldenrod",1,"2019-08-09"
"tall thimbleweed",1,"2019-08-09"
"tansy",1,"2019-08-09"
"thinleaf huckleberry",1,"2019-08-09"
"thyme-leafed spurge",1,"2019-08-09"
"tree-of-heaven",2,"2019-08-09"
"virgin's-bower",1,"2019-08-09"
"Virginia marsh St. John's-wort",1,"2019-08-09"
"water smartweed",1,"2019-08-09"
"watermint",1,"2019-08-09"
"Watershield",1,"2019-08-09"
"western poison ivy",1,"2019-08-09"
"white campion",2,"2019-08-09"
"white clover",3,"2019-08-09"
"white mulberry",1,"2019-08-09"
"white oak",2,"2019-08-09"
"white poplar",3,"2019-08-09"
"white snakeroot",1,"2019-08-09"
"white sweetclover",1,"2019-08-09"
"white vervain",1,"2019-08-09"
"Wild Basil",1,"2019-08-09"
"wild bergamot",4,"2019-08-09"
"wild carrot",5,"2019-08-09"
"wild quinine",1,"2019-08-09"
"wild sarsaparilla",1,"2019-08-09"
"wild teasel",1,"2019-08-09"
"Wood Lily",1,"2019-08-09"
"woodland sunflower",1,"2019-08-09"
"yellow nutsedge",1,"2019-08-09"
"Alderleaf Buckthorn",1,"2019-08-10"
"Allegheny blackberry",2,"2019-08-10"
"Alpine Enchanter's-nightshade",1,"2019-08-10"
"alternate-leaved dogwood",1,"2019-08-10"
"American hophornbeam",3,"2019-08-10"
"American lopseed",1,"2019-08-10"
"American pokeweed",4,"2019-08-10"
"American red raspberry",1,"2019-08-10"
"American spikenard",1,"2019-08-10"
"American white waterlily",1,"2019-08-10"
"American wintergreen",1,"2019-08-10"
"American witch-hazel",1,"2019-08-10"
"annual fleabane",1,"2019-08-10"
"balsam poplar",1,"2019-08-10"
"barnyardgrass",1,"2019-08-10"
"bearberry",1,"2019-08-10"
"Bifid Hemp-nettle",1,"2019-08-10"
"big bluestem",1,"2019-08-10"
"big bur-reed",1,"2019-08-10"
"Biting Stonecrop",1,"2019-08-10"
"black raspberry",1,"2019-08-10"
"black-eyed Susan",1,"2019-08-10"
"bladder campion",3,"2019-08-10"
"bloodroot",1,"2019-08-10"
"blue water-speedwell",1,"2019-08-10"
"blue wild rye",2,"2019-08-10"
"bluebead lily",4,"2019-08-10"
"bottlebrush grass",1,"2019-08-10"
"boxelder maple",1,"2019-08-10"
"bristly greenbrier",1,"2019-08-10"
"bristly sarsaparilla",1,"2019-08-10"
"Broad-leafed Helleborine",5,"2019-08-10"
"broad-leaved sweet pea",1,"2019-08-10"
"Broad-lipped Twayblade",2,"2019-08-10"
"broadleaf arrowhead",2,"2019-08-10"
"broadleaf enchanter's nightshade",1,"2019-08-10"
"Broadleaf Water-milfoil",2,"2019-08-10"
"Brown-eyed Susan",1,"2019-08-10"
"bulblet-bearing water hemlock",1,"2019-08-10"
"bull thistle",2,"2019-08-10"
"Busy Lizzie",1,"2019-08-10"
"butterfly milkweed",1,"2019-08-10"
"California poppy",1,"2019-08-10"
"Callery pear",2,"2019-08-10"
"Canada clearweed",2,"2019-08-10"
"Canada goldenrod",1,"2019-08-10"
"Canada mayflower",1,"2019-08-10"
"Canada violet",1,"2019-08-10"
"Canadian buffalo-berry",1,"2019-08-10"
"Canadian yew",1,"2019-08-10"
"Carolina horsenettle",1,"2019-08-10"
"Catnip",1,"2019-08-10"
"checkered rattlesnake plantain",1,"2019-08-10"
"Chinese weeping willow",2,"2019-08-10"
"citronella horse balm",1,"2019-08-10"
"common bracken",4,"2019-08-10"
"Common Dewberry",1,"2019-08-10"
"Common hemp-nettle",1,"2019-08-10"
"common hibiscus",2,"2019-08-10"
"common ivy",1,"2019-08-10"
"common jewelweed",2,"2019-08-10"
"common juniper",1,"2019-08-10"
"common lamb's-quarters",1,"2019-08-10"
"common lilac",1,"2019-08-10"
"common motherwort",1,"2019-08-10"
"common ninebark",1,"2019-08-10"
"Common Rush",1,"2019-08-10"
"common selfheal",1,"2019-08-10"
"common soapwort",4,"2019-08-10"
"common St. John's-wort",1,"2019-08-10"
"common toadflax",2,"2019-08-10"
"common yarrow",3,"2019-08-10"
"creeping juniper",1,"2019-08-10"
"cut-leaved grape-fern",1,"2019-08-10"
"dark green bulrush",1,"2019-08-10"
"ditch stonecrop",1,"2019-08-10"
"early goldenrod",1,"2019-08-10"
"eastern black nightshade",1,"2019-08-10"
"eastern black walnut",3,"2019-08-10"
"Eastern Teaberry",1,"2019-08-10"
"False Motherwort",1,"2019-08-10"
"false Solomon's seal",2,"2019-08-10"
"Fen Grass of Parnassus",2,"2019-08-10"
"field goldenrod",1,"2019-08-10"
"fireweed",3,"2019-08-10"
"flat-branched tree-clubmoss",1,"2019-08-10"
"flat-top white aster",1,"2019-08-10"
"flowering spurge",1,"2019-08-10"
"fragrant bedstraw",1,"2019-08-10"
"Fringed Brome",1,"2019-08-10"
"fringed polygala",1,"2019-08-10"
"fringed sedge",1,"2019-08-10"
"fringed willowherb",2,"2019-08-10"
"frost grape",1,"2019-08-10"
"Garden catmint",1,"2019-08-10"
"Garden Dahlia",1,"2019-08-10"
"giant goldenrod",1,"2019-08-10"
"ginkgo",5,"2019-08-10"
"great mullein",2,"2019-08-10"
"Great Willowherb",1,"2019-08-10"
"greater plantain",1,"2019-08-10"
